"source","client","idx","dt_ns"
"present","workspace","0","30745700"
"present","workspace","1","15180900"
"present","workspace","2","26411500"
"present","workspace","3","40278900"
"present","workspace","4","15469900"
"present","workspace","5","16181300"
"present","workspace","6","18173700"
"present","workspace","7","17237800"
"present","workspace","8","15087400"
"present","workspace","9","17779500"
"present","workspace","10","16569600"
"present","workspace","11","14711600"
"present","workspace","12","18328500"
"present","workspace","13","16353300"
"present","workspace","14","15003700"
"present","workspace","15","17626200"
"present","workspace","16","15877600"
"present","workspace","17","21675400"
"present","workspace","18","14988800"
"present","workspace","19","14504200"
"present","workspace","20","16737200"
"present","workspace","21","16238600"
"present","workspace","22","17502000"
"present","workspace","23","16040200"
"present","workspace","24","15958000"
"present","workspace","25","21920800"
"present","workspace","26","14229300"
"present","workspace","27","15886800"
"present","workspace","28","17169600"
"present","workspace","29","17267100"
"present","workspace","30","14033400"
"present","workspace","31","19405000"
"present","workspace","32","14688000"
"present","workspace","33","15755300"
"present","workspace","34","17479400"
"present","workspace","35","16033000"
"present","workspace","36","17078200"
"present","workspace","37","15993300"
"present","workspace","38","18137100"
"present","workspace","39","14716800"
"present","workspace","40","17793400"
"present","workspace","41","16458800"
"present","workspace","42","18429300"
"present","workspace","43","14960200"
"present","workspace","44","16086300"
"present","workspace","45","17440800"
"present","workspace","46","15931300"
"present","workspace","47","18031100"
"present","workspace","48","15033700"
"present","workspace","49","17367400"
"present","workspace","50","17843400"
"present","workspace","51","17727000"
"present","workspace","52","15611400"
"present","workspace","53","15040800"
"present","workspace","54","18077100"
"present","workspace","55","16030000"
"present","workspace","56","15865900"
"present","workspace","57","17144500"
"present","workspace","58","16591200"
"present","workspace","59","15663500"
"present","workspace","60","18732800"
"present","workspace","61","16501400"
"present","workspace","62","16020600"
"present","workspace","63","18063200"
"present","workspace","64","17016500"
"present","workspace","65","14739100"
"present","workspace","66","16022300"
"present","workspace","67","18246600"
"present","workspace","68","21046700"
"present","workspace","69","14246000"
"present","workspace","70","15751600"
"present","workspace","71","15499200"
"present","workspace","72","19512300"
"present","workspace","73","14918900"
"present","workspace","74","19503700"
"present","workspace","75","14869300"
"present","workspace","76","15335800"
"present","workspace","77","15585900"
"present","workspace","78","21522200"
"present","workspace","79","18210900"
"present","workspace","80","15170900"
"present","workspace","81","15429400"
"present","workspace","82","16419500"
"present","workspace","83","20402900"
"present","workspace","84","14769800"
"present","workspace","85","16673200"
"present","workspace","86","14847600"
"present","workspace","87","20735200"
"present","workspace","88","15981700"
"present","workspace","89","18540200"
"present","workspace","90","15429200"
